base,date,currency,rate
USD,2009-01-13,HRK,5.5359674257
USD,2009-01-13,HUF,209.4178856884
USD,2009-01-13,IDR,11261.99668225
USD,2009-01-13,ILS,-
USD,2009-01-13,INR,48.9247473986
USD,2009-01-13,ISK,-
USD,2009-01-13,JPY,89.3832001206
USD,2009-01-13,KRW,1365.6009651636
USD,2009-01-13,LTL,2.6035288795
USD,2009-01-13,LVL,0.5316694315
USD,2009-01-13,MXN,13.893982808
USD,2009-01-13,MYR,3.578494948
USD,2009-01-13,NOK,7.1312773337
USD,2009-01-13,NZD,1.8094555874
USD,2009-01-13,PHP,47.5116875283
USD,2009-01-13,PLN,3.1230583622
USD,2009-01-13,RON,3.2282461167
USD,2009-01-13,RUB,31.225531594
USD,2009-01-13,SEK,8.2372191223
USD,2009-01-13,SGD,1.4895189263
USD,2009-01-13,SKK,-
USD,2009-01-13,THB,34.9102699442
USD,2009-01-13,TRY,1.601040567
USD,2009-01-13,USD,1.0
USD,2009-01-13,ZAR,10.0802292264
USD,2009-01-14,AUD,1.5007211721
USD,2009-01-14,BGN,1.4847035603
USD,2009-01-14,BRL,2.3227814469
USD,2009-01-14,CAD,1.2255370834
USD,2009-01-14,CHF,1.120549609
USD,2009-01-14,CNY,6.8351931982
USD,2009-01-14,CZK,20.4334623852
USD,2009-01-14,DKK,5.6561147802
USD,2009-01-14,EEK,11.8777803082
USD,2009-01-14,EUR,0.7591285205
USD,2009-01-14,GBP,0.6895164351
USD,2009-01-14,HKD,7.7565474835
USD,2009-01-14,HRK,5.567979959
USD,2009-01-14,HUF,210.6202080012
USD,2009-01-14,IDR,11127.0022014727
USD,2009-01-14,ILS,-
USD,2009-01-14,INR,48.6047217794
USD,2009-01-14,ISK,-
USD,2009-01-14,JPY,89.3190617171
USD,2009-01-14,KRW,1349.2978061186
USD,2009-01-14,LTL,2.6211189554
USD,2009-01-14,LVL,0.5351856069
USD,2009-01-14,MXN,13.8700371973
USD,2009-01-14,MYR,3.5725347301
USD,2009-01-14,NOK,7.1593410764
USD,2009-01-14,NZD,1.8417976163
USD,2009-01-14,PHP,47.1266985501
USD,2009-01-14,PLN,3.1458285888
USD,2009-01-14,RON,3.2551430957
USD,2009-01-14,RUB,31.761937296
USD,2009-01-14,SEK,8.3105594777
USD,2009-01-14,SGD,1.4927503226
USD,2009-01-14,SKK,-
USD,2009-01-14,THB,34.9100432703
USD,2009-01-14,TRY,1.6006224854
USD,2009-01-14,USD,1.0
USD,2009-01-14,ZAR,10.0500265695
USD,2009-01-15,AUD,1.5145586549
USD,2009-01-15,BGN,1.4946885747
USD,2009-01-15,BRL,2.3925869316
USD,2009-01-15,CAD,1.2512800917
USD,2009-01-15,CHF,1.1253343523
USD,2009-01-15,CNY,6.8363011081
USD,2009-01-15,CZK,20.8696981276
USD,2009-01-15,DKK,5.6944593045
USD,2009-01-15,EEK,11.9576614444
USD,2009-01-15,EUR,0.7642338556
USD,2009-01-15,GBP,0.6852120749
USD,2009-01-15,HKD,7.76094765
USD,2009-01-15,HRK,5.6282002293
USD,2009-01-15,HUF,215.0936186473
USD,2009-01-15,IDR,11255.0019105846
USD,2009-01-15,ILS,-
USD,2009-01-15,INR,48.7802827665
USD,2009-01-15,ISK,-
USD,2009-01-15,JPY,89.3924340848
USD,2009-01-15,KRW,1387.9709591135
USD,2009-01-15,LTL,2.6387466565
USD,2009-01-15,LVL,0.5382499045
USD,2009-01-15,MXN,14.2300343905
USD,2009-01-15,MYR,3.5939625525
USD,2009-01-15,NOK,7.2048146733
USD,2009-01-15,NZD,1.8632021399
USD,2009-01-15,PHP,47.3977837218
USD,2009-01-15,PLN,3.2324035155
USD,2009-01-15,RON,3.2862055789
USD,2009-01-15,RUB,32.3188383645
USD,2009-01-15,SEK,8.4008406572
USD,2009-01-15,SGD,1.4977455101
USD,2009-01-15,SKK,-
USD,2009-01-15,THB,34.8949178449
USD,2009-01-15,TRY,1.6199465036
USD,2009-01-15,USD,1.0
USD,2009-01-15,ZAR,10.1872372946
USD,2009-01-16,AUD,1.4778447626
USD,2009-01-16,BGN,1.4738507913
USD,2009-01-16,BRL,2.3250188395
USD,2009-01-16,CAD,1.2384325546
USD,2009-01-16,CHF,1.1200452148
USD,2009-01-16,CNY,6.8373775433
USD,2009-01-16,CZK,20.4747550867
USD,2009-01-16,DKK,5.6152976639
USD,2009-01-16,EEK,11.790957046
USD,2009-01-16,EUR,0.7535795026
USD,2009-01-16,GBP,0.6701582517
USD,2009-01-16,HKD,7.7594574228
USD,2009-01-16,HRK,5.5629992464
USD,2009-01-16,HUF,209.419743783
USD,2009-01-16,IDR,11028.003014318
USD,2009-01-16,ILS,-
USD,2009-01-16,INR,48.5297663904
USD,2009-01-16,ISK,-
USD,2009-01-16,JPY,90.5124340618
USD,2009-01-16,KRW,1350.4973624717
USD,2009-01-16,LTL,2.6019593067
USD,2009-01-16,LVL,0.5304446119
USD,2009-01-16,MXN,13.8299924642
USD,2009-01-16,MYR,3.5774679729
USD,2009-01-16,NOK,6.942351168
USD,2009-01-16,NZD,1.8223059533
USD,2009-01-16,PHP,47.1966842502
USD,2009-01-16,PLN,3.1503391108
USD,2009-01-16,RON,3.2245666918
USD,2009-01-16,RUB,32.5185380558
USD,2009-01-16,SEK,8.1134137151
USD,2009-01-16,SGD,1.4860587792
USD,2009-01-16,SKK,-
USD,2009-01-16,THB,34.8749058026
USD,2009-01-16,TRY,1.607611153
USD,2009-01-16,USD,1.0
USD,2009-01-16,ZAR,9.9150715901
USD,2009-01-19,AUD,1.4890001517
USD,2009-01-19,BGN,1.4836898801
USD,2009-01-19,BRL,2.3375056896
USD,2009-01-19,CAD,1.2510999848
USD,2009-01-19,CHF,1.1236534668
USD,2009-01-19,CNY,6.8359126081
USD,2009-01-19,CZK,21.0195721438
USD,2009-01-19,DKK,5.6523289334
USD,2009-01-19,EEK,11.8696707632
USD,2009-01-19,EUR,0.7586102261
USD,2009-01-19,GBP,0.6863146715
USD,2009-01-19,HKD,7.758534365
USD,2009-01-19,HRK,5.6134880898
USD,2009-01-19,HUF,215.103929601
USD,2009-01-19,IDR,11090.0015172205
USD,2009-01-19,ILS,-
USD,2009-01-19,INR,48.6200879988
USD,2009-01-19,ISK,-
USD,2009-01-19,JPY,90.395994538
USD,2009-01-19,KRW,1365.9687452587
USD,2009-01-19,LTL,2.6193293886
USD,2009-01-19,LVL,0.533682294
USD,2009-01-19,MXN,13.972993476
USD,2009-01-19,MYR,3.580488545
USD,2009-01-19,NOK,6.9185252617
USD,2009-01-19,NZD,1.8375815506
USD,2009-01-19,PHP,47.1324533455
USD,2009-01-19,PLN,3.2950235169
USD,2009-01-19,RON,3.2658170232
USD,2009-01-19,RUB,33.0752541344
USD,2009-01-19,SEK,8.1831285086
USD,2009-01-19,SGD,1.4939311182
USD,2009-01-19,SKK,-
USD,2009-01-19,THB,34.9248975876
USD,2009-01-19,TRY,1.6513427401
USD,2009-01-19,USD,1.0
USD,2009-01-19,ZAR,10.0679714763
USD,2009-01-20,AUD,1.520649652
USD,2009-01-20,BGN,1.5126063418
USD,2009-01-20,BRL,2.3588553751
USD,2009-01-20,CAD,1.2655839134
USD,2009-01-20,CHF,1.14516628
USD,2009-01-20,CNY,6.8385150812
USD,2009-01-20,CZK,21.5738592421
USD,2009-01-20,DKK,5.7628770302
USD,2009-01-20,EEK,12.1010054138
USD,2009-01-20,EUR,0.7733952049
USD,2009-01-20,GBP,0.7201082753
USD,2009-01-20,HKD,7.7593194122
USD,2009-01-20,HRK,5.7313225058
USD,2009-01-20,HUF,222.0804331013
USD,2009-01-20,IDR,11309.0023201856
USD,2009-01-20,ILS,-
USD,2009-01-20,INR,49.1399845321
USD,2009-01-20,ISK,-
USD,2009-01-20,JPY,90.4098994586
USD,2009-01-20,KRW,1377.973704563
USD,2009-01-20,LTL,2.6703789637
USD,2009-01-20,LVL,0.5439288476
USD,2009-01-20,MXN,14.069992266
USD,2009-01-20,MYR,3.6105181748
USD,2009-01-20,NOK,7.1086620263
USD,2009-01-20,NZD,1.8934261408
USD,2009-01-20,PHP,47.501933488
USD,2009-01-20,PLN,3.3851508121
USD,2009-01-20,RON,3.3619489559
USD,2009-01-20,RUB,33.3457076566
USD,2009-01-20,SEK,8.4218870843
USD,2009-01-20,SGD,1.5095901005
USD,2009-01-20,SKK,-
USD,2009-01-20,THB,34.9651972158
USD,2009-01-20,TRY,1.6750966744
USD,2009-01-20,USD,1.0
USD,2009-01-20,ZAR,10.3337200309
USD,2009-01-21,AUD,1.544306739
USD,2009-01-21,BGN,1.5149496514
USD,2009-01-21,BRL,2.3700232378
USD,2009-01-21,CAD,1.2660728118
USD,2009-01-21,CHF,1.143609605
USD,2009-01-21,CNY,6.8378001549
USD,2009-01-21,CZK,21.3663826491
USD,2009-01-21,DKK,5.7712625871
